Identifier,Comments,SubTask1,SubTask2
5045,Sir jin Logo ne hum par 200 saal Raj Kiya Aap unke survey par vishvas kar skte hai par kisi Indian survey par nhii ? Plizz answer de,Pessimistic,Criticism
5659,Ehsan Khan bhag jaoo yha se..😈😈,Neutral,None
11889,Jada tar log help hi Kar na chahate ha isme,Optimistic,None
618,Oye andhe sun.......bhosdike aaj k time par ladko se jyada ijaat aur laws ladkiyon k paas h .....chootiye....bas kursi pe baithke kuch b pelta h sala ......phle reality toh Jaan le ......jitni bhi bdi cities h unme ladkiya nikkar mein ghumti h max. Tim e lekin agar koi ladka underwear mein dikh bhi jaaye toh pata nhi kya kya blames lagenge aur kitna galat btaya jaayega .....agar kisi case mein ladke ki galti na b ho toh b jail mein seedha .....aur investigation baad mein karegi police ........lekin agar ladki ne crime kiya h toh bhot bhot bhot jyada Kam chance h ki ladki ko jail bhej de 🌚🌚🖕🖕🖕.....vaise kaafi saare points thik bhi h lekin aaj k time PE ladko ki buri haalat h ladkiyo se .....aur aise hi chla toh aur buri ho jaayegi 🤬🤬🤬,Pessimistic,Offensive
6764,gunde nahin hai Bank ke police wale ko hath hai log Bank locker Police wale log aadami ko banaa rakha hai Bank chor log Bank chor log Police Police Police wale kahamare Police de paniya ka kuchh galti ke paise gundaraj Chala mein bik jaega sarkar paisa mahabali kabhi Paisa khata hi log kabhi poochha khata haiIndia mein kitna Raj kitna galat thi chal raha hai ji ke jhuki chalo aap Malik bankar Tum chal Kar dekh kis ke bad mein maloom chalega India garib hai garib,Neutral,None
608,Kitni badi baat he ki ladka hoke bhi aap ladkiyo ki problems samajh pa rahe he,Optimistic,Appreciation
5258,Last 3 days se me newspaper me roj ek rape case k bare mei Dekh rhi nu...😣,Neutral,None
46,ife saga mujhe pata hai ki kesa feel hota hai jab aapke saath kuch bura ho lekin koi aap per vishwas na kare,Neutral,None
9835,Delhi key logo ko sudharooo....Bengal ko dekho sekhooo kuch,Pessimistic,Criticism
3992,Aap ek worir woman ho aapke samne hum kuch nhi h mam,Neutral,None
9659,"aap sab news wale koi kaam sahi nahi karte ho.......bas delhi ka halat dikha diya aur kaam pura ho gaya aapka......un ladko ka kya kiya? kyun nahi un kutto ko kisi live show me la kar sabka family ko bulakar question kiya jaye, chappal se peeta jaye aur 10 saal ki saja di jaye.",Optimistic,Suggestion
8538,कोइ कोल गल भि समज सकता है रात को,Neutral,None
9592,मैने भी देखा लड़किया कैसी है,Pessimistic,Criticism
3336,Ye sab cheeze hamare ghar me to nahi hoti So i guess i am lucky,Optimistic,Appreciation
4048,Mam aap bahut he sunder Ho sachi Dil se to bahut jada or aapka heir very nice voice is great Aap duniya ke sbse sunder Ladki Ho really aap jaise himmat wale koi nii hai really ☺👌👌👌💞💓💓😘😘😘,Neutral,None
10563,Har mard ko Aisa original mard Banna chahie,Neutral,None
8334,100 no. Pr call lgta nahi hai,Pessimistic,Criticism
4796,sir pleserbi pe ek study vidio banao kese gov unse unka max profit share unse leti he jabki vo banks ke devlopment me kam aa sakta he jeseki abhi shaktikantadas ke pehele ho governer the unko presharise kiyagaya ou unhone nahi kiya to unki jaga shaktikantadas ko lakar unse vo fund gov ko pass on karvaya gaya,Neutral,None
9883,Help chahiye to mangna padta h sirf ek jagha khade ho ke rahnese raste m Jane Bale ko kese pata chalega problem m h,Neutral,None
12118,Jabardasti ke Trp ke liye gyan de rahe h,Pessimistic,Criticism
10142,Ladki car me janeke baad ke aage ka clip toh dikhaya hi nahi ki uss gunde ne kya kiya kya bola car me bathtehi car strt karke aage chalne lagey,Neutral,None
4383,Mansimran Kaur ..yes aap sahi bol rahe ho,Neutral,None
2380,"Kaur jee,aapko future ka nai sochne hoga, present ko dekhiye, bas yaad rakhiye.... Aapko apne haq k lia larna hai,jab tak aapko jeet na mil jaay,",Optimistic,None
11282,Kause napunsak log thye jo us ourat ko bacha nahi sake,Pessimistic,Criticism
2974,ili 😂😂😂😂😂😂 aji historian tranvancore kingdom ke baare mein padh bola... pata bhi hai kab dissolute hui kingdom july 1949 mein.. 😂😂😂😂😂 Historian hai tu... historian.. WhatsApp ki.. chal aage tere se behas kerna mera time waste kerna hai..,Neutral,None
12064,11/12 baje konsi ladaki akeli bahar jayegi or raat ka samay sone ke liye he ghumne keliye nahi kisi ladkine to nahi pucha madat ke liye.....,Neutral,None
11038,up mai yogi ne ek ladki ko raat ko agg lagva di thi yaad hai 100 crore tihadi,Pessimistic,Criticism
6692,☝️ ahemdabad safe for women or not 3 year old 🤣 . Delhi mai abhi hi ek 9 saal ki ladki ka balatkar hua tha 😑,Pessimistic,Criticism
7437,Salo ko dhund kar encounter kar do.,Pessimistic,Offensive
7065,"ha ab Delhi bhi achha ho rha. Hey sab jaga camera hey, uttar pradesh ki jesa nahi",Optimistic,Appreciation
11234,Tum ab apne hisab ki news dene lge ho,Pessimistic,Criticism
1833,Anand Singh its okay.... Bt mujhe koi rajput larka simple and sweet ni mila.... Its not my fault.... Mujhe jhuti shan ni chahie.... Real respect chahie,Neutral,None
8269,"Bahi thoda kdwa h pr such batana aise konsi sareef ladki h jo raat k 12,,,,1. Bje ghumti h ,,",Pessimistic,Criticism
535,Ese soch agar her insan ki ho jaye to girls ki ese situation nhi hoti aur hamara desh aur teji se Vikas kar pata......,Optimistic,Suggestion
3032,5 saal ka bacha oske piche 😂 os way m ni choda jata jis way m aap bata rhey ho baaki saab thik h,Neutral,None
4152,Mam aap bahut sundar ho our aapki thinks our bhi acchi hai love you mam 😊,Neutral,None
12650,Patna me police sirf traffic pas milegi,Pessimistic,Criticism
11580,Tumhari ma bhn k sth hoga to pta chle,Neutral,None
1146,Kisko dekh kr bol rhe ho ?,Neutral,None
8767,"yarr, ab muje Delhi kabhi nhi Jana h vaise kabhi gayi nhi abto bilkul nhi Jana h",Neutral,None
7389,Har 15 min me ek ladki ke sath rape hota ha..but phir bhi ham khete ha ki India is great....😔😔😔😔😔😔😔😔😔,Pessimistic,Criticism
2272,उस हमने में से मुझे हटा दो yr मेरी घरवाली मुझे पीटती ह,Neutral,None
11847,aisi akdu ldki ko chor mt puch rheeeee koi harami aayi h patana ko badnam krne madechod patna me koi aisa ni h,Pessimistic,Offensive
6617,Inki adat kharab kar rakhi hai road par khade hone wali prostitutes ne............delhi ki sadko par bhut prostitute khadi rehti hai and ladko ko bolti hai chalega kya chalega kya or fir pichy aati hai ladko k ........usko kon dikhaiga tumara bap.......ladkiya sab dudh ki dhuli hai jaise Delhi k kotho ki halat dekho unki jadatar malkin aurate hi hai jaa k check karlo,Pessimistic,Criticism
1695,"जब एक भाई, पापा, चाचा ,मामा, खुद के सोच को नहीं बदलेगा तब तक हमारे समाज से ,,,Girl Night Curfew 🙄 नही हटेगा ❤️🙏🙏",Optimistic,Suggestion
1510,Aree bhai bhai bhai bhai. Kuch zyada nahi hogaya?,Neutral,None
2251,Right 100% bhaiyya i support you 😭😭😭😭😭😭😭😭😭😭 19 age ke baad to ladki hona paapi feel hota hai,Neutral,None
5028,"Baat accept karne ki nahi hai...baat ye hai ki tumlogo ko aj hi berojgari, corruption aur rape dikh raha hai kya..iske pahle nahi tha kya ye saab....pahle hum kya gold ke spoon se khate the kya..aankhe to tumne band ki hai bhai sahab.👎👎👎👎👎",Neutral,None
4410,Nahi aesa nahi karna chahiye. Varna usme or hamame fark nahi rehga,Neutral,None
6831,Yoge se koai kam nahi nahi karsskta hai yoge cm pud se hstana zarure hai,Pessimistic,Criticism
4086,Mam....is duniya ki sabse buri jaati boy hi he......Or boys kabhi kis ka bhala ni soch skte or na hi achha kr skte he......Ab to ldkiya kabhi ldko se na shadi kre or na ldko ko apni society me saamil hone de....Ladkio ki special society honi chahiye jisme ldkiya hi ldkiya ho..... Is jamane me ldko ko ghar se bahr ni niklne dena chahiye....... Ladkiya hamesa devi ka roop hoti he or devi ko kisi ki jarurt ni hoti vo apni life khud ji skti he....,Optimistic,None
7276,In dono gundo ko jail kyu nhi bheja gaya saboot bhi hai. Fir b,Neutral,None
6766,Ase ladako ko langa kar marana chahie aur desh Drohi ghoshit kar dena chahie aur india se bahar nikal dena chahie HAMARE SAMAJ ME ASA KANUN HONA CHAHIE,Optimistic,None
3438,Right dear sahi kaha yahi tejab banta hai,Neutral,None
485,Ladkiyon ki bhi bhut galti h is sab m,Neutral,None
2334,Vo 5 years ka bachcha us ka confidence 10 x bhada deta h u r wrong Jaruri nahi ki har kisi ka confidence achha ho or girl ko Chhote kapade pahanane ko is liye roka jata h kyo ki baher bhukhe kute bhi hote h aaj ke time 100 me se 90 log gher se baher girls ko tadapne ke liye hi nikalte h or pyaar bhi kr lete h fir chahe girls ko unse pyaar ho ya na ho but unko h to unse pyaar karo 🤣🤣 Aap ki 20% Baat bilkul galat h 🙏,Pessimistic,Criticism
6048,Wahi Na bhai pehli Baar aisa ho Raha hai ki rapist ke support mein rallies nikal rahey hai AUR Abhi tak koi jail Nahi gaya hai. Incredible India,Neutral,None
2762,"Aaj main scooty par jaate waqt red light hone par ruk gaya lekin mere piche ek lady joh mujhe se umar main badi thi aur ush lady ne mujhe khoob bura bhala suna diya pucho kyu? Sirf ishliye ki main red light par kyu ruka maine red light jump kyu nahi ki. Meri wajah se woh mere piche se apni scooty ko overtake nahi kar paayi aur ush lady bechari ko mujh jaise bewakoof adami, aur bhi na jaane kya kya us lady ne mujhe bol gayi. Wajah sirf ek ki maine ""red light jump kyu nahi ki"". Shayad aap main se kai log mujhe bolenge ki tumhe ush lady ko jawab dena jarur chahiye tha...lekin aaj ke samaj main doston ladies ko kuch samajhana bhi yaani apne pairo par kulhadi marne ke bara bar hai...kyunki jab society maine kisi warg (Category) ke uthaan (Empowerment) ke liye kuch khaas kanoon banaye jaate hai na...tab ush warg ke chahe ""Purush""(Gents) ho Ya phir ""Mahila"" (Ladies) jitna jaayda ho sake utna ush Kanoon ka galat fayda uthana jayda pasand karte hai......aaj kal aksar log kehte hai ki ladies h",Pessimistic,Criticism
9163,In ladko ne jo kiya woh to galat hai no doubt.... Lekin ek baat yeh bhi hai ki itni late night roads per akele kis type ki ladkiyan khadi hoti hai yeh sab jante hain...woh bhi ladkiyan he hoti hai jo yeh sab karti hain. Aise main sirf ek sided hoke report bna lena yeh bhi thik nhi hai. Koi bhi shareef ladki itni late night road per akele khadi nhi rehti hai. Baki police to kuch karti nhi hai yeh to sach hai...,Pessimistic,Criticism
4656,Mere papa chahte to h age badhna pr sirf padhe k cheta m. Aur koi aur course nhi krn dete h,Neutral,None
12337,"...डी ..ली पटना को बदनाम कर रही है मुम्बई में पूछा तो कोई प्रॉब्लम नही पटना में पूछा तो कोनसा गुनाह किया ,",Neutral,None
12623,Tu bhi in mein se ek hoga,Neutral,None
4786,abe angrez ki aolad indian culture ye hota h jisme teri mummy dusro se ghapa ghap karwana band kar de,Pessimistic,Offensive
7051,पुलिस अपना काम अच्छी तरह डयूटी करें तो कोई भी गुंडे ओर अपराधी कहीं भी किसी को नुक्सान पहुंचाने की कोशिश नहीं कर सकते हैं पर पुलिस अपना काम अच्छी तरह से नहीं करती है इसलिए कहीं भी शर्मसार करने वाली घटना हो जाती हैं,Pessimistic,Criticism
10507,Agar sabki soch in sir ki jaisi ho jaye....to ladkiyoko darne ki jarurat nahi hai....👑🙏,Optimistic,Appreciation
1457,"Kya hi aadmi ho sir aap,,, 👍🏽",Neutral,None
3989,Aap ab bhi beautiful ho sacchi me,Neutral,None
12306,Patna wale to sirf help kar rhe hai. Aur sab log yhi puche ki koi problem to nhi hai.. kitni achchi baat hai,Optimistic,Appreciation
1647,kahan the guruji aap bss avi avi prakat hue ho ky🤧,Neutral,None
6789,Chalo yeh ladka to expose ho gaya,Neutral,None
6403,Lucknow me bhi same haalat hai... Kahin bhi ladkiya safe nhi hain.,Neutral,None
8442,Hum Sabko maa aur bahan samjhein usshe pehle ladkiya to ladko ko bhai aur baap samjhein.,Neutral,None
2458,ondonoxfordstreet Sahi kaha bhai...ladikiyan alg hoti hain aur ladke alg...dono ke apne apne role hain ..te bas female audience ke liye ye sb bol rh h,Pessimistic,Criticism
1051,I have 3 sister no brother or han maine doll se nahi khela sadak me kanche khelti thi mai shadi Nahi ki or mon dad kisi ne pressurized Nahi kiya mere papa ji mummy ji ne sir pe bhitha ke dular kiya hai can't explain here but I'm lucky to have a parent's like them,Optimistic,None
8157,"She,s choosing specific pickup point like mg road, lajpat nagar ... for their fake experiment.. they totaly fake .. im also from delhi.. aisa kuchh bhi nae hai.. jhut hai ... ...aab aap aisi jagha ajoge toh waha apka swagat thodi.. hoga. She,s pretending like a pickup girl.. thats why she face that problems.",Neutral,None
9506,Ahmedabad my aysa kush nhi hota hey sir,Optimistic,None
2042,Because women ko ghar smbhal padta hai baby krna padta hai ye. V bht impornt kam hai islia unhe itni jhut mili hai but ab women are earning too,Neutral,None
7754,Mahatma Gandhi ji bhi bole the bharat dekhna hai to village me dekho,Neutral,None
4732,Yadav Why wud he admit whn he didn't do any crimes.... If one out of 10 does a crimes dt doesn't mean dt the whole package is a criminals. India me jnme huye ho usko smman diya Karo usko kuch badmaash o ke wajhe se bdnaam mt Karo.... Agr itna hi problem h iss Bhumi k sth aur nikl ja yaha se....kuch accha kr bhi skta toh dafa ho jaa...bjag,Neutral,None
4296,Ladki hokar kisi k ghar k bahu Banna bahut hi taklifmay hotA hai di Mai bhi vahi taklif me hu,Neutral,None
8788,Ese logo to gay Kar Dena chhahiye,Optimistic,None
9251,Delhi walo ka nazar bahut karab hota h,Pessimistic,Criticism
9412,baat ye hai ki logo ki mentality khrab hogya hai waha k metro station k wareme aksr mostly waha glt kaam krne wali ladki khdi rehti hai isliye auro ladki ka wareme v glt soxte hai waha:::,Neutral,None
4739,modi karwa Raha h sab jaanbhojkar,Neutral,None
9358,AJ kal ladkiyan sadak k kinaare khade ho kar car walo ka wait Karti hai koi car ruke or paise set hote he wo chal deti hai......Maine khud dekha hai ye sab hote hue ye ladkiyon ne Dhanda Bana Liya hai.agar ladki problem m hai to aage as kar help maange sadak k beech q khadi ho gayi,Pessimistic,Criticism
1231,"inni beta tum badi hi Jai, school, college Jai aur Shaadi karlo, tumse na ho payega",Neutral,None
8267,Main jab bhi yahan se gujarta hu to jarur lift deta hu logon ko,Neutral,None
9606,Aajtak or india tv ki buddhdhi achor ko kyon log chedte he,Neutral,None
3574,Very nice didi Aap bhut beautiful ho,Neutral,None
5451,Bhai NRI kutta isliye india ke bare me aisa bol raha hai,Pessimistic,Offensive
1614,Agar ladki apne upper ho rahe domestic violence ki police'compline ki to usko hi galat hi kaha jata hai black truth,Neutral,None
261,He is bhakt of dhruv rathee,Neutral,None
11815,Madharland bhonsdi k isme sab help krne aaye the,Pessimistic,Offensive
7820,Kiya hoga hamare des ka yar 😔,Neutral,None
8858,To sir rat me bat hi khatam ho jati he,Neutral,None
10162,"Discovered Everything lo ek or chuitiya aa gya, chutiyo ki kmi ni h yha 🤣🤣🤣🤣🤣",Pessimistic,Offensive
1781,"arium bhaii ho gai tasali... reply saaf pata chal raha hai khali time pass karne aya hai... politics , nuturing idhr bhi dekh le... bs army he criteria hai development ka ?? search kar kis country ne sabse best perform kara hai corona mai... aur uski ruler bhi dekh le kon hai... eak bhi saval ka javab diya hai nahi... aur bhaiya ka sar dard ho gaya... ja 1 stopache aur 15 minute ke liye yoga karle... acha lagega... baki samjne wale toh kafi hai... tu ese he rehna kafi zaroorat hai tere jeso ki bhi....",Neutral,None
12459,"Jab wo ladki mna kar di nii madad chaiye, to bar bar puchna jaruri hai",Neutral,None
3235,wahi bhai inka ye feminism me logic ki maa behen kardi🤣😭,Pessimistic,Offensive
596,Ye nhi batainge kyuki inkhe sickularism ki bimari hai,Neutral,None
968,Ye amir khan ban raha hai jo apni wife ko last age me divorce deta hai or tv per lambi lambi batee Karta tha,Neutral,None
10858,bhai woman ke baat chhodo india abb ladka be safe nhi hai,Pessimistic,Criticism
4133,So sad😭😭😭😭😩😩😩 mam ap sachi mai bahut hi jada brave ho🙏🙏,Neutral,None
9779,Kab hoga yr development kabhi nhi hoga jab tak aise jaahil anpad log hai duniya me koi jagah safe nahi hai.. lund hi kaat do salo ka saari hawas nikal jaegi😡😡,Pessimistic,Offensive
8152,Salo kueki noida delhi me aisa hota hai road ke kinare me Aise hi ladkiya khadi rhti hai hotel me jane ke liye,Pessimistic,Offensive
6722,Tum jaise Logon Ne Kejriwal ko kyon jitaya aur bhago bata do covid se Delhi mein 22 doctoron Ki Maut hui thi 21 Hindu The unhen Ek rupaye bhi nahin Diye Hamari Kejriwal Sarkar den Van Muslim doctor died and Kejriwal Sarkar give 1 crore rupees,Neutral,None
12636,Media pay mat jao ..we know hamarey Bihari bhai kaysye hey m.didi ka matlab didi hota hey bihar mat,Pessimistic,Criticism
2111,"Kuch bhi mantar mat do logo ko, feminism ek votebank hain. Asli insaan ladka aur ladki ko insaan hi maanta hain. Ban karna hain to film industry ko ban karo, jo galat chije sikhati hain generation ko. Saarein rape scenes ki shurvat film industry se hui hain, from ""bhagwan ke liye mujhe chodd do"" to ""main tumhare bacche ki maa banne wali hu, feminism ki bhi shurvaat film industry se hui hain. Rape Scenes, Sex Scenes, Feminism, Eaveteasing, Molestation have been glorified in film industry. Aap ke pass data tod marod ke aaya hain in short its a manipulated data.",Pessimistic,Criticism
6424,"आज के दिन लङकी एक आफत भी तो है, डर लगता है कहीं गले ना पङ जाये इसलिए सरीफ आदमी बचना चाहता है लङकी से ।",Pessimistic,Criticism
6311,Allah duniya ki har ladki ki hifazat kare in janwaroun se,Neutral,None
8745,ABHINAV SHUKLA ji तुमने ठीक कहा,Neutral,None
12433,Koi dhang ka to news Sunate Nahin Hai bekar ka Logon Ko Badnaam Karte Hain Sab vaise Thodi Hote Hain,Pessimistic,Criticism
9797,"Ranjan maine kb kha ek bihari sau par bhari, maine toh khi nhi likha hai IAS IPS wali baat. Agar tumko dukh hota hai apne bihari hone par to rote rho hm fir v garv se bolenge hm hai bihari",Neutral,None
12511,abe ye bhi to ho sakta o itni raat ko akeli dekh ke sach me help karna chah raha ho.,Neutral,None
2063,Sir wahhh kya baat Kahi h Apne me gujar rahi hu es Staj se or mehant karri hu Ghar se hi teyari Karke es duniya ko,Neutral,None
11877,Maine v college of commerce kankarbag Patna me bahut bar strike kiya h road block kiya h Pr police aaiye aur bahut aache trike se students ko deal kiya,Neutral,None
6898,भाई ये साले पुलिस वाले का हीं औलाद होते हैं सर,Pessimistic,Offensive
8556,Mujhe to sirf dhandhe karne wali hi aadhi raat ko dikhti akele,Pessimistic,Criticism
10509,Jab tak didi nahi bola vishvas nahi hua,Neutral,None
1042,"Apke kuch points sahi hai dost, being a woman I agree with you",Neutral,None
6227,Ha jabtak accept nhi krege tab tak problem solve nhi hogi.,Optimistic,None
1094,Mahi :- Bsdk idhar dekh le....,Pessimistic,Offensive
8834,state of Mardangi hamara raj chalega.,Neutral,None
11756,Sabhi to sahi h Mast Patna,Neutral,None
527,Ladkiyon ko chhod hi mujhe toh evening time kahin Jane hi nahi dete 😂,Neutral,None
12219,We proud to be bihari kisi ne koi galat nahi bola kayi ne to didi v boli ham hai bihari sanskari,Optimistic,None
2710,"Dahej galat hai, lekin alimony bhi galat hai. Waise ladki ke maa baap toh paise wale ladke ko hi dhundhte hai? Uske baare me koi kuch nahi kehta.",Pessimistic,Criticism
5089,Ase news TV m ku nhi dikhate..... Sad kuki fir unko pese Milne band ho jayge.......,Neutral,None
1367,"Bruh will you explain, that what makes them different from us. Bhaiya aap ko saram nhi aati utho yaha se, bhaiya ek ladki khari h dikhai nhi deta, ek nazar dekho to badtameez ghoor raha hai, abe yaar tum logo ne isko itna over exaggerated kar diya h sala hm larke maa ko bhi hug nhi kr pate. Dard tab nhi hota jab log kahte - Beti bachao beti padhao, lekin dard tab hota hai jab jharkhand or bihar ke larke 8 or 9 class me kaam krne chale jate hai. Tab koi kyu nahi bolta beta bachao beta padhao. Bs frk itna h n jb hme chot phunchti h n to sbko btate nhi chilla chilla kr ki chot lgi bs apne andar hi seh lete h. Sala kaahe ka gender equality, jab hamko school me larkiyon se jyada paisa dena para tha, bc tb tere ko nhi dikhai diya kya. America me kyu nhi hota ye sab kyuki wha sb equal h, koi over exaggerated nhi krta. Har trf se ldka mro, or ladki galat kare to agr kuch bol do to lrki ka ijjat karo. To lrke kya patthar ke bane hote h, unhe bura nhi lagta jab unki koi ijjat nahi karta. G****u",Pessimistic,Offensive
12176,Patna ko badnam mt kijiye plzzz🙏🙏,Neutral,None
4357,Eansan ka dil achcha ho to vo Eansan bahot beatiful dhikhata hai LIKE YOU we proud of you,Neutral,None
5700,very good reporting aapko salyut or tahe dil se naman,Neutral,None
9255,Shab Se jada haryana main gunde hai Jo kisi se nhi darte,Pessimistic,Criticism
7795,Peahele ledki kapda seishe pehna kare,Pessimistic,Criticism
2188,वैसे तो म आप के सारे वीडियो पसंद आते है पर इस वीडियो की 90% बातें बहुत आराम से काटी जा सकती है आध्यात्मिक ज्ञान के अभाव की वजह से आप की ये सोच बाहर आ रही है।।यदि आप के आस पास होता तो बहस के द्वारा आप को तर्कों से समझता कि असली वजह क्या है ।।।,Neutral,None
9185,Wo call girl samajh kar aaya tha,Neutral,None
8785,Ye kam sirf maa - baap hi kar sakhte he... bachpan se lakdo ko itni freedom milti he k jwan hone par bekabu ho jate he.,Neutral,None
5544,padh le ab isne jo likha h akki,Neutral,None
2469,Shadi hui baad malum hota ladki kaisi hai so,Neutral,None
508,Inspiration pta nahi kaha se hai aapki.. US me bhi ladki President bardasht nahi hai Trump ko jita diya but Hillary ko nahi,Pessimistic,Criticism
6278,"Sabhi bihari ko khtm krdo , sb thik ho jayega",Neutral,None
516,Really main sir society or family ki soch hi yahi hain kabhi bhi girls ko apani marji se jine nahi dena chahaten hain,Pessimistic,Criticism
3249,aa gayi...sach dikhta hai...it's the most male dominated society ever....period,Neutral,None
7447,Jab tak fanse ka rule nahe hoga india ma rap case ka tab tak ye chalta rahega....waise be ye log itne powerful isseliye ha kewke khud Govt backed ha,Optimistic,Suggestion
6333,"Himmat hai aap news reporter me to baat kare is matter pr. Actually ek truck wale ne meri car ko peeche se hit damage Kiya. Jb m shoutly truck driver pr chillaya ki neeche uter. Then wo police wala aakr peeche se mere sr maarta h or gaali dene lgta h. Mene use bola bhi ki sir aap dekhiye meri car ka kya haal Kiya h. But wo gaali dene lgta h or bola ki nikal car lekr ye wo. M jese hi car me betha usne meri kollar pakdi,but is tarike se ki meri chain kheechi. Mene usko bola ki 1 mnt m chain rkhlu. Mene wo chain car ke dash board me rkhdi,usne apna hawaldar meri car me aage bethaya or bola ki Thane le aa ise or car ki chabi le liyo isse. Mene andr bola bhi ki meri car ki chabi dilwado,mujhe meri car se laptop bag or samaan nikalna hai. But hr baar wo or uske sipahi gaali dete. Meri car ki key or mobile kis base par rakh skte the wo. Mene kya Kiya tha esa😡😡. Mere ghrwale mere chote bache SB preshan the,ki phn kyo nhi utha rha tha.😔. But ghrwale mujhe dhundte hue aaye or tB Jaan phchn nikal",Neutral,None
5686,Ha modi hi to jimmedar hain has chees ke liye,Neutral,None
7915,Solute your reporters 🙏🙏🙏 Rat me ladki k liye safe nhi hai delhi,Pessimistic,Criticism
7141,"aaplogon ko bta dia jaae.. ye reporter thik usi jgh par jaa rhin hai jaha par illigaly girls khadi rhtin h.. and you can search these place on google also.jisme Dlf, south ex. akshardham, cp aate h. And is tarike se delhi police ko and delhi ko badnaam na kren. Police apna kaam kar rhi h.. kripya un ladkiyon ko wha se illigal kaam krne se roken. I think new delhi k paas bhi ek road hai. Wha kyu nahi gye aaplog.",Optimistic,None
1934,Sahi bola apne hats off you,Neutral,None
2580,Yhi chizzzz mere dimag Mai ati h,Neutral,None
9270,Bhai yek bar ye so cha kro hmari maa bhne h,Neutral,None
644,I love my india.but mujhe yha nhi rehna kyuki yha ladkiyo ki respect nhi hoti.I want to settle abroad.Shadi ke pehle mayke me unki coaching hoti hai ki sasural me unhe kaise pesh aana hai.aur sasural me unhe permanent servent bna dete hai.bina salary bina kisi pehchaan ke apna saari padhai chulhe me jhok do.aur saare sapne khud tod do.Ghar ke kaam girls akele kyu karti hai boys kyu nhi karte.kyu wo apni wife ko maid ki tarah treat karte hai.,Optimistic,None
6053,Hum sab indian youth milke kiya kuch nahi kar sakte......????,Neutral,None
9100,Me jharkhand state ke dhanbad city se hu or muje dhanbad pe gurv hai kyu ke din ho ya raat agar koi dhanbad me esa kese bhe larke ke sath kiya hota to public use Etna marte ke wo dubara esa nahi karta dhanbad me larki safe hote hai har samaye,Optimistic,Appreciation
11542,Saudi Arabia ka kaanoon duniya me Sabse badiya hai. America ka kaanoon fail.,Neutral,None
9636,Koi abhi shahar thik nahi hai sab as hai,Pessimistic,Criticism
3892,Di hamara sathi qu hotai ha eya sab????😭😭😭😭,Neutral,None
9018,Yar sarey us jagah jarhe ho jaha raatko galat chalta hai,Neutral,None
328,Dono has has ke mat bolo,Neutral,None
8251,Or in ladko ka kya hu.....complaind kri......btaao,Neutral,None
9781,apna himachal best hai cities k logo ki mardangi aur sharm dono mar gai hai,Pessimistic,Criticism
8310,Yeh Thori naai bath Hai indian maai Sar e Aam WeSy Bhi Marwati hain dosri Bath Toilat ze nhi gharun Mai bhar jati hai Toilat krny Rapis KSy Nhi. Hungy 🤪🥴🥴🥴🥴😂government india 60 years Sey Toilat bana nhi sakay 😂😂😂😂🤣🤣🤣🤣🤣🤣🤣,Pessimistic,Criticism
8980,Delhi police Kya karti rehti he rat bhar.delhi me sadko par koi bhi police van kabhi kyu nahi dikh thi😡,Pessimistic,Criticism
1592,"Ab parents ki responsibility toh leni padegi na.. Free mein thodi hi paise milne vale he. Abhi parents ko budhape me smbhalna nahi he aur unke paise bhi chahiye toh kaise chalega? Aur divorce toh hoga hi. Aap dharma shastra ke virudhh kaam kar rahe ho. Dharma shastra ke hisab se Daugter ne Parents se sirf Stri dhan aur gifts hi lene chahiye aur apne In-laws ki dekhbhal karni chahiye. Fir in-laws ki property milegi ladki ko, uske pati ke saath. Bhai parents ki dekhbhal karega aur use aur uske patni ko parents ki property milegi. Marriage ke baad, Daugter ko apne parents ki dekhbhal nahi karni chahiye aur unki property bhi nahi leni chahiye. Daugter ko apne In-laws ke upar hi focused rehana chahiye, kyuki voh uska asli ghar he. Parents ka ghar temporary hota he.",Neutral,None
10992,sir odisha main BJD goverment he navin patanaik jo uska dipartment ka he ishilia action nhi lerehe CM ne bajaya shankar ke upar,Neutral,None
10644,ज़रा सा दुपट्टा सरकने पर... सिर झुका देते हैं ..🤍🤍 कुछ लड़के बिना बोले ही... अपने संस्कारों को दिखा देते हैं!!🙃,Optimistic,Appreciation
8830,"1st reporter uss ladke ko prostitute lagi hogi.. aur wo car me aane ka ishara kar rahi hai ye laga hoga, tabhi to usne gadi ka driver hote hue bhi door open karne ki try ki. But wo ladki kafi courageous hai - jab unn ladko ne achanak se hotel me aane k liye pucha tabhi bhi uski avaj me bilkul ghabrahat nahi sunayi di.",Neutral,None
3821,aap bahut sundar ho aapki awaaz bahut pyari hi aap bahut Achcha bolate ho,Neutral,None
9724,r u mad! jiska jo man vo phne agr vo coftable h usse phnne me to tum jaise log hi h jinki choti soch ki wahja se itte rape cases hote h treet a girl like a normal human being koi ladka kuch bhi phne ladkiya uski taraf dhyan b n deti to ladkiya kuch bhi phne unhe normal treet kro jaise vo tumhe krti h or ladkiyo ko kise ki sympathy ki zarurat n h bs bs ladke unko ghoorna picha krna band karke apna kaam kre jaise ladkiya krti h to India kaafi safe ho jayega!!,Optimistic,Suggestion
9788,Sale ki pant utar ke ....wahi raste pe bandh do,Pessimistic,Offensive
3704,Yar ye kaun log dislike krte h. Laxmi di ne kya galat bol Diya.,Neutral,None
4104,Uss criminal ko saza kyu nhi Mila...,Neutral,None
